vendor_id,city,zone_type,vendor_age_years,years_in_business,food_category,license_status,avg_daily_revenue_inr,avg_daily_customers,monthly_stall_rent_inr,num_helpers,hours_open_per_day,competition_within_100m,monthly_health_inspection_score,had_fine_last_year,avg_monthly_rainfall_mm,season_of_observation,has_online_presence,customer_complaint_rate,vendor_survived
VSF-00001,Delhi,Industrial,34.0,10.98,Chinese,Licensed,332.2,10.0,0.0,1,10.0,4.0,65.0,0.0,103.08,Winter,0.0,0.12,1
VSF-00002,Kochi,University Area,33.0,5.53,Chaat,Licensed,3138.9,180.0,2112.1,1,6.42,3.0,,1.0,350.0,Monsoon,1.0,0.22,1
VSF-00003,Hyderabad,Industrial,48.0,2.7,Desserts & Sweets,Licensed,1626.36,67.0,5487.75,3,11.8,0.0,,0.0,66.64,Post-Monsoon,0.0,0.09,0
VSF-00004,Bengaluru,Transit Hub,,9.77,Beverages,Licensed,3592.98,171.0,1960.79,3,12.53,,36.38,1.0,107.3,Post-Monsoon,1.0,0.1,1
VSF-00005,Delhi,Transit Hub,51.0,21.24,South Indian,Licensed,2418.07,105.0,2720.82,4,6.07,5.0,71.05,0.0,166.57,Monsoon,0.0,0.08,0
VSF-00006,Pune,Transit Hub,45.0,6.96,Chaat,Expired,1913.73,58.0,2305.32,0,10.91,14.0,58.75,1.0,166.91,Monsoon,,0.11,0
VSF-00007,Mumbai,Transit Hub,74.0,16.69,Fast Food,Licensed,1475.99,68.0,5990.77,0,12.04,10.0,,0.0,328.63,Monsoon,1.0,0.11,0
VSF-00008,Lucknow,University Area,43.0,15.15,South Indian,Licensed,1004.87,41.0,3641.78,2,,1.0,95.0,0.0,111.85,Monsoon,0.0,0.22,0
VSF-00009,Bengaluru,Tourist Spot,31.0,0.9,Grilled & BBQ,Unlicensed,1026.87,44.0,2601.81,0,7.07,4.0,80.0,0.0,108.68,Post-Monsoon,0.0,0.21,1
VSF-00010,Mumbai,Tourist Spot,42.0,18.06,Seafood,Licensed,2149.48,83.0,7675.03,1,12.45,6.0,,0.0,250.17,Winter,0.0,0.02,1
VSF-00011,Bengaluru,Residential,24.0,,Chinese,Licensed,1887.46,108.0,990.88,0,12.3,1.0,29.64,1.0,90.44,Post-Monsoon,1.0,0.07,1
VSF-00012,Jaipur,Commercial,26.0,,Desserts & Sweets,Unlicensed,1014.53,63.0,7931.64,0,7.55,12.0,60.0,0.0,34.15,Winter,1.0,0.25,0
VSF-00013,Hyderabad,Industrial,24.0,2.96,Chaat,Expired,903.94,48.0,1202.27,1,12.82,8.0,65.0,0.0,48.9,Summer,0.0,0.27,1
VSF-00014,Delhi,University Area,50.0,11.65,Seafood,Expired,26716.52,400.0,0.0,0,12.98,8.0,41.43,0.0,201.2,Monsoon,0.0,0.02,1
VSF-00015,Pune,Transit Hub,35.0,17.43,Desserts & Sweets,Licensed,1230.4,50.0,2451.64,0,6.52,15.0,60.21,1.0,65.84,Post-Monsoon,0.0,,0
